Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Genre_list, Action, Adventure, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, News, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Director_FE,Genre_FE,Actor 1_FE,Actor 2_FE,Actor 3_FE
15 Park Avenue,-2005,116,Drama,7.1,1002,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1137,42,8,5
15th August,-1993,168,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1137,4,5,46
16-Dec,-2002,158,"Action, Thriller",6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,"['Action', ' Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,111,5,13,28
18.11,-2014,126,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,['Action'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,391,1,13,5
1857,-1946,,"Drama, History",5,8,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi,"['Drama', ' History']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,20,3,11,1
19 Revolutions,-2004,94,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,['Drama'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1137,2,13,1
1920,-2008,138,"Horror, Mystery, Romance",6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,"['Horror', ' Mystery', ' Romance']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,5,5,5,1
1920 London,-2016,120,"Horror, Mystery",4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,"['Horror', ' Mystery']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,13,10,1,1
1920: Evil Returns,-2012,124,"Drama, Horror, Romance",4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,"['Drama', ' Horror', ' Romance']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,4,1
1921,-2018,144,"Horror, Mystery, Romance",4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,"['Horror', ' Mystery', ' Romance']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,5,2,1,2
